activation_event_count,authentication,browser_entrypoint,bytes,category_count,commands,custom_editors,debuggers,dependency_count,dev_dependency_count,extension_id,languages,license_declared,main_entrypoint,repository_declared,sha256,task_definitions,terminal_profiles,untrusted_workspace_limited,valid_manifest,version,virtual_workspace_limited,vscode_engine,webview_views,wildcard_activation
5,0,False,2161156,1,4,0,0,0,10,Braden.better-go-to-file,0,True,True,True,4f5ca17745a44b5e5215b1c067fc813881886919ff9e6a56c44bd45e2a7fc0fe,0,0,False,True,1.1.2,False,^1.97.0,0,False
3,0,False,2627816,1,4,0,0,3,4,cherserg.code-generator-cherserg,0,False,True,True,50b5ad53497a89a7fa20fd346aa61ab237e525b9975faabc346a98f91cf72e18,0,0,False,True,0.1.15,False,^1.65.0,0,False
1,0,False,19011,1,2,0,0,0,9,dennib.react-code-regions,0,False,True,True,519ecb3225c04f434cedf8700bd28ac5e721132e8eca4b3851f6df1570be6979,0,0,False,True,0.0.6,False,^1.87.0,0,False
11,0,True,31240622,4,24,0,0,9,29,hashicorp.terraform,11,True,True,True,52cc8a3bbcd3483a2fa6ba0f51a2167ea989c488d97cd4f085a42e1f6c48cf21,0,0,False,True,2.40.0,False,^1.92.2,6,False
0,0,False,417377,1,0,0,0,0,0,sailstudio.antigravity-polish-pack,0,True,False,True,547eb2a18e901f88d7b0003e24957fd5e1050fb61cd9349170e1a9ec6331111b,0,0,False,True,1.0.5,False,^1.80.0,0,False
1,0,False,721573,1,8,1,0,7,15,bridgeconn.scribe-audio,0,False,True,True,56d74af0bcc92ecf6a5896ad66f9a73749b4284d48644cca51de0d3ebb26ee07,0,0,False,True,1.2.0,False,^1.86.0,1,False
1,0,False,16272242,4,13,0,0,13,14,Meterian.meterian-heidi,0,True,True,True,5b989862ee9e0a926ca78d53b0063a990366c00aba3e4dae54ad71bb71b2150a,0,0,False,True,1.21.7,False,^1.63.0,0,False
1,0,False,5857,1,1,0,0,0,11,onulciru.Dg-Foto-Art-Gold-Full-Crack-Kid-Extra-Quality,0,False,True,False,5c57d06778b6ec935344e2cc448f191f637b5a6c65b0d46c87fe011319fc62b3,0,0,False,True,0.0.1,False,^1.65.0,0,False
5,0,False,28188077,1,3,0,0,1,6,romerramos.elementarywatson,0,False,True,True,5de6ee92eedf70ed6b48788ca889506ce81ebffae0330e43385f3df6d00f94cc,0,0,False,True,0.5.3,False,^1.99.3,1,False
0,0,False,965275,2,1,0,0,3,3,artipartylartiii.a-lsp,1,False,True,False,5e9ac24ea914b0ef7688d4b9063b155c6e81aeb070fc07ad5498690a08db6b8d,0,0,False,True,1.0.5,False,^1.60.0,0,False
8,0,False,1356349,2,3,0,0,3,15,yapi.yapi-extension,1,False,True,True,63cf29566e8004ab6eb4d015087290cc5d3ac63793e29392e10f91c75c1ebe16,0,0,False,True,0.7.1,False,^1.85.0,0,False
5,0,False,19178,1,0,0,0,0,10,moby.cg-vscode-extension,0,False,True,True,656339466a27d9405859486dd1583303f169706c571a5ad52f8a0a36e5fcf507,0,0,False,True,0.0.7,False,^1.83.0,0,False
0,0,False,1463264,2,38,0,0,1,7,pdragon.azure-rbs-workbench,0,False,True,True,67544de4d83bb6d0dde96c42a28a525f6e66c2b3c6e168e43f9438a512c0d56a,0,0,False,True,1.5.0,False,^1.96.0,3,False
0,0,False,4251,1,0,0,0,0,0,vlkoti.theme-expressive-quietlight,0,False,False,True,68475eba671e04d8564898cde34383a02f6b13903ba64c56ad8f7223cd805b88,0,0,False,True,0.0.2,False,*,0,False
3,0,False,251768,4,0,0,0,0,9,mtxr.sqltools-driver-sqlite,0,True,True,True,6a53e33690840d826250f9f4342b9652827b760b5324dbdc3692ea20ea3c1363,0,0,False,True,0.5.4,False,^1.78.0,0,True
0,0,False,824714,1,0,1,0,0,4,kaosumaru.viss-editor,0,True,True,True,6cba001bc737bab8e02154667014303d7b51a1810f29b24c087354edb75c22e6,0,0,False,True,0.1.3,False,^1.74.0,0,False
0,0,False,19753,1,1,0,0,0,23,YuTengjing.awesome-vscode-extension-boilerplate,0,True,True,True,6d4735bcf71b2b07e88207ea3676332211fb87d26fa86d0900706bab8e5d2346,0,0,False,True,0.0.29,False,^1.80.0,0,False
1,0,False,3735423,6,26,0,0,41,52,Codeium.codeium,0,False,True,False,703e0aeef63fe5000db26f4e306b6f312c5374ab28f23528586ea9f491cb4718,0,0,False,True,1.48.2,False,^1.68.0,1,False
3,0,False,44820306,6,9,0,0,3,25,Symflower.symflower,0,True,True,True,736d1de65254a9fcfe9f284ecd1cb4d478b78e8734a2c3854cddc28ed51264c0,0,0,False,True,0.0.51292,False,^1.68.1,0,False
1,0,False,212729,1,7,0,0,2,11,northLo.penny-vscode,0,True,True,True,73c3808eede9d963ca03667aa8801e6f67e8661a82223b59fb1d04981f255577,0,0,False,True,1.6.2,False,^1.90.0,1,False
1,0,False,396225,2,15,0,0,0,7,CesarAndresLopez.sidekick-docker-vscode,0,True,True,True,76766285b83492b88aaa46a645a8ce21b9020627a1022564e95c21e524958a59,0,0,True,True,0.4.0,False,^1.109.0,1,False
2,0,False,30837353,6,18,0,0,89,39,RooVeterinaryInc.roo-cline,0,False,True,True,777c0f958dc0c8e83a00bb6b1ce6cd75b804934529712fbee45d819ed2f01763,0,0,False,True,3.54.0,False,^1.84.0,1,False
10,0,True,1053975,4,0,0,0,8,37,redhat.vscode-yaml,1,True,True,True,7ae9d5566d62bdf95e6978d39695d2cae31c993284d36abd98499ae6bd7aa31d,0,0,True,True,1.25.2026073109,False,^1.63.0,0,False
13,0,False,1549859,3,0,0,0,2,20,evgeniypeshkov.syntax-highlighter,0,True,True,True,7c84380abc3d56d16dd271a64f34bb8a0a35a69ee39162c0182b3f154c734118,0,0,False,True,0.5.1,False,^1.46.0,0,False
1,0,False,6798,1,1,0,0,0,11,4fluxcoamurba.Descargar-Gladiator--Road-To-The-Colosseum-gratuita,0,False,True,False,7cc7dda80d40c50bc675d928874584ce97831601decd196df300c7e20ddfd4f5,0,0,False,True,0.0.1,False,^1.65.0,0,False
2,0,False,3892159,1,2,0,0,2,12,ZhangRGK.json2built-value,0,False,True,True,7d2cf66cd876a2e8109e2c1d77090534030ddaa71878cd00e05439cba66ed701,0,0,False,True,0.0.2,False,^1.46.0,0,False
0,0,False,87911,5,0,0,0,0,0,nadim-vscode.html-meta-tags-hero,0,True,False,True,7efc8ebf4e944fe70d1865f5c20bbc0b07fd35abb4ef12072539466374d842f1,0,0,False,True,1.0.2,False,^1.73.1,0,False
